1 0 ['seti', 123, 0, 4] [15823996, 0, 0, 0, 0, 0]
2 1 ['bani', 4, 456, 4] [15823996, 0, 0, 0, 123, 0]
3 2 ['eqri', 4, 72, 4] [15823996, 1, 0, 0, 72, 0]
4 3 ['addr', 4, 1, 1] [15823996, 2, 0, 0, 1, 0]
5 5 ['seti', 0, 8, 4] [15823996, 4, 0, 0, 1, 0]
6 6 ['bori', 4, 65536, 3] [15823996, 5, 0, 0, 0, 0]
7 7 ['seti', 16098955, 8, 4] [15823996, 6, 0, 65536, 0, 0]
8 8 ['bani', 3, 255, 5] [15823996, 7, 0, 65536, 16098955, 0]
9 9 ['addr', 4, 5, 4] [15823996, 8, 0, 65536, 16098955, 0]
10 10 ['bani', 4, 16777215, 4] [15823996, 9, 0, 65536, 16098955, 0]
11 11 ['muli', 4, 65899, 4] [15823996, 10, 0, 65536, 16098955, 0]
12 12 ['bani', 4, 16777215, 4] [15823996, 11, 0, 65536, 1060905035545, 0]
13 13 ['gtir', 256, 3, 5] [15823996, 12, 0, 65536, 14559001, 0]
14 14 ['addr', 5, 1, 1] [15823996, 13, 0, 65536, 14559001, 0]
15 15 ['addi', 1, 1, 1] [15823996, 14, 0, 65536, 14559001, 0]
16 17 ['seti', 0, 7, 5] [15823996, 16, 0, 65536, 14559001, 0]
17 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 0]
18 19 ['muli', 2, 256, 2] [15823996, 18, 1, 65536, 14559001, 0]
19 20 ['gtrr', 2, 3, 2] [15823996, 19, 256, 65536, 14559001, 0]
20 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 0]
21 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 0]
22 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 0]
23 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 1]
24 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 1]
25 19 ['muli', 2, 256, 2] [15823996, 18, 2, 65536, 14559001, 1]
26 20 ['gtrr', 2, 3, 2] [15823996, 19, 512, 65536, 14559001, 1]
27 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 1]
28 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 1]
29 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 1]
30 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 2]
31 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 2]
32 19 ['muli', 2, 256, 2] [15823996, 18, 3, 65536, 14559001, 2]
33 20 ['gtrr', 2, 3, 2] [15823996, 19, 768, 65536, 14559001, 2]
34 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 2]
35 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 2]
36 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 2]
37 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 3]
